"Име на кандидат/член на ИнК","Предоставил средства на","От дата","Вид","Размер","Стойност","Декл."
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","420.00",""
"ИВО   АНГЕЛОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","25.03.2026","Кандидат","1920.33","0.00",""
"ДАНИЕЛ   СТОЙНЕВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","25.03.2026","Кандидат","300.00","0.00",""
"МИГЛЕНА  ПРОЙНОВА","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","25.03.2026","Кандидат","500.00","0.00",""
"ГЕНАДИ ЦИТЛАКИДИС","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","25.03.2026","Кандидат","500.00","0.00",""
"СВЕТОСЛАВ  МИНЧЕВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","25.03.2026","Кандидат","500.00","0.00",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","0.00","320.00",""
"Деница Георгиева","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","23.03.2026","Кандидат","0.00","300.00",""
"Антонио Василев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","23.03.2026","Кандидат","5000.00","0.00",""
"Петър Стойчев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","23.03.2026","Кандидат","600.00","0.00",""
"маломир власов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","20.03.2026","Кандидат","5000.00","0.00",""
"Марчо Паунов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Павел Василев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Владимир Сертов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Димитър Стоянов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","1000.00","0.00",""
"Димитър Стоянов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","2000.00","0.00",""
"Стефан Сабрутев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Цветан Гугалов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","500.00","0.00",""
"Борислав Богословов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","500.00","0.00",""
"Мирослав Влашев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","500.00","0.00",""
"Светослав Илиев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","200.00","0.00",""
"Лилия Димитрова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Борислав Крумов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","500.00","0.00",""
"Виктор Рушанов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Рашко Динков","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","1500.00","0.00",""
"Ваня Вълчева","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Динко Уручевски","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","600.00","0.00",""
"Георги Григоров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","500.00","0.00",""
"Федор Павлов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","3000.00","0.00",""
"Стефан Цанков","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","5000.00","0.00",""
"Тихомир Тотев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","1000.00","0.00",""
"Пенка Минева","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","500.00","0.00",""
"Димитър Христов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","27.03.2026","Кандидат","300.00","0.00",""
"ДАФИНКА ГАНЕВА","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"ИВАН ИБРИШИМОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","0.00","220.90",""
"ИВАН ИБРИШИМОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","0.00","350.00",""
"ТАТЯНА ТОТЕВА","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","0.00","1802.88",""
"Красимир Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Красимир Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Красимир  Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Красимир  Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Красимир Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Красимир Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Красимир Йорданов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Райно Георгиев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Райно  Георгиев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Калоян Калиманов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","27.03.2026","Кандидат","500.00","0.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","144.00",""
"Айлин  Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","0.00","600.00",""
"Людмил Софрониев","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","28.03.2026","Кандидат","0.00","200.00",""
"Айлин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","0.00","120.00",""
"Айлин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","0.00","3222.00",""
"Айлин Пехливанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","0.00","536.05",""
"Ваня Кромбоа","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","0.00","4846.14",""
"Чавдар Христанов","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","26.03.2026","Кандидат","250.00","0.00",""
"Александър  Иванова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","28.03.2026","Кандидат","0.00","240.00",""
"борислав  георгиев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","27.03.2026","Кандидат","1000.00","0.00",""
"росица тричкова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","5000.00","0.00",""
"пламен  белов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","27.03.2026","Кандидат","8000.00","0.00",""
"светослав  илиев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","300.00","0.00",""
"лидия  димитрова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","600.00","0.00",""
"борислав  крумов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","25.03.2026","Кандидат","500.00","0.00",""
"димитър  христов ","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","300.00","0.00",""
"тихомир  кръстев ","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","19.03.2026","Кандидат","2000.00","0.00",""
"михаил  михайлов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","20.03.2026","Кандидат","3000.00","0.00",""
"илия  илиев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","600.00","0.00",""
"магдалена  петкова","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","28.03.2026","Кандидат","500.00","0.00",""
"иван  димитров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","2810.00","0.00",""
"Минчо Копрински","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","01.04.2026","Кандидат","32.00","0.00",""
"Радослав  Рибарски","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","2500.00","0.00",""
"николай Томитов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","27.03.2026","Кандидат","194.40","0.00",""
"николай Томитов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","800.00","0.00",""
"Никола Янков","КП СИНЯ БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","5000.00","0.00",""
"Ивайло Йонков","КП СИНЯ БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","5000.00","0.00",""
"Христина  Тодорова","КП СИЯНИЕ - Коалиция","30.03.2026","Кандидат","3000.00","0.00",""
"Александър  Иванов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","26.03.2026","Кандидат","0.00","60.00",""
"Нора  Стоянова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","01.04.2026","Кандидат","500.00","0.00",""
"Николай Шопов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","0.00","364.80",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","0.00","250.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","0.00","330.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","0.00","350.00",""
"Деница Симеонова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","0.00","268.00",""
"Рена Стефанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","0.00","216.00",""
"Рена Стефанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","0.00","240.00",""
"Деница     Иванова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","01.04.2026","Кандидат","3000.00","0.00",""
"София Колева","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","28.03.2026","Кандидат","0.00","300.00",""
"Чило Попов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","0.00","2580.00",""
"даниел  димитров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","24.03.2026","Кандидат","25.00","0.00",""
"галин  дурев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","1000.00","0.00",""
"илко  илиев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","9900.00","0.00",""
"маломир  власов ","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","27.03.2026","Кандидат","1500.00","0.00",""
"цветомир  цветанов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","27.03.2026","Кандидат","600.00","0.00",""
"калин  иванов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","5000.00","0.00",""
"пламен  ангелов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","360.00","0.00",""
"петър витанов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","2320.00","0.00",""
"атанас христов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","100.00","0.00",""
"георги  костов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","500.00","0.00",""
"Корнелия Нинова","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","480.00","0.00",""
"Калоян Методиев","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","400.00","0.00",""
"Мая Грозданова","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","420.00","0.00",""
"Зоя Дуфева","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","400.00","0.00",""
"Кирилка Илиева","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","350.00","0.00",""
"Иво Бачийски","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","500.00","0.00",""
"Мая Александрова","НАЦИОНАЛНО ДВИЖЕНИЕ НЕПОКОРНА БЪЛГАРИЯ - Партия","02.04.2026","Кандидат","300.00","0.00",""
"Виктор Стоянов","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","02.04.2026","Кандидат","0.00","110.00",""
"Стефан Радев","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","02.04.2026","Кандидат","108.00","0.00",""
"НИКОЛАЙ ЦОНЕВ","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция","30.03.2026","Кандидат","0.00","3000.00",""
"Чавдар Христанов","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","03.04.2026","Кандидат","250.00","0.00",""
"Нермин Станева","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","500.00","0.00",""
"Стоян Тричков","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","500.00","0.00",""
"Иван Димитров","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","2810.00","0.00",""
"Борислав Георгиев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","1000.00","0.00",""
"Елена Нонева","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","01.04.2026","Кандидат","20.00","0.00",""
"Слави Василев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","3938.00","0.00",""
"Веселин Додев","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","200.00","0.00",""
"Владимир Николов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","03.04.2026","Кандидат","20000.00","0.00",""
"Георги Митов","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","03.04.2026","Кандидат","25.00","0.00",""
"Илиан  Точев","КП СИЯНИЕ - Коалиция","03.04.2026","Кандидат","2000.00","0.00",""
"Димитър Данчев","КП СИЯНИЕ - Коалиция","06.04.2026","Кандидат","4200.00","0.00",""
"Джипо Джипов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","30.03.2026","Кандидат","0.00","61.36",""
"Александър  Иванов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","31.03.2026","Кандидат","0.00","180.00",""
"Ваня Кромбоа","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","1488.00",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","494.76",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","78.00",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","170.00",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","300.00",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","02.04.2026","Кандидат","0.00","663.48",""
"Джипо Джипов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","03.04.2026","Кандидат","0.00","36.72",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","03.04.2026","Кандидат","0.00","540.00",""
"Богдан Богданов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","0.00","180.00",""
"Рена Стефанова","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","0.00","120.00",""
"АЯН  МЕХМЕДОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","511.00","0.00",""
"ВАНЯ ДИМИТРОВА","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","511.00","0.00",""
"ДАНАИЛ КОСТАДИНОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","511.00","0.00",""
"ТАМАРА СТИЛЯНОВА","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","511.00","0.00",""
"ПАВЕЛ КАРАИВАНВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","511.00","0.00",""
"Елена Христова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","300.00","0.00",""
"Веселина  Кулева","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Светлин Колев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Иван Костов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Симона  Йорданова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Антон Стоянов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Нели Димитрова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Сияна  Фудулова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","06.04.2026","Кандидат","500.00","0.00",""
"Велислав Величков","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","0.00","1200.00",""
"Елена нонева","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция","07.04.2026","Кандидат","0.00","36.82",""
"Вили Лилков","КП СИНЯ БЪЛГАРИЯ - Коалиция","07.04.2026","Кандидат","2500.00","0.00",""
"Иван Сотиров","КП СИНЯ БЪЛГАРИЯ - Коалиция","07.04.2026","Кандидат","3000.00","0.00",""
"НИКОЛАЙ ЦОНКОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","0.00","1920.00",""
"ТАТЯНА ТОТЕВА","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","1214.40","0.00",""
"Златина Иванова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Наталия Киселова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Любчо  Иванов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Стефан Стойчев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Ивелина  Гочева","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Христофор Маринов","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","468.00","0.00",""
"РУМЕН ДРАГАНОВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"ИЛИЯН ИЛИЕВ","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","300.00","0.00",""
"Ивалинка       Цанкова","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Илия  Илиев","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","08.04.2026","Кандидат","500.00","0.00",""
"Себахтин Гьокче","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","0.00","487.01",""
"Себахтин Гьокче","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","09.04.2026","Кандидат","0.00","487.01",""
"Иван Манев","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","07.04.2026","Кандидат","2500.00","0.00",""
"Виктор Стоянов","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","07.04.2026","Кандидат","0.00","150.00",""
"Елена Вутова","КП АНТИКОРУПЦИОНЕН БЛОК - Коалиция","10.04.2026","Кандидат","606.00","0.00",""
"Николай Томитов","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","06.04.2026","Кандидат","120.00","0.00",""
