rank,tier,domain,outlet,type,scope,similarweb_visits_jul2026,semrush_visits_jul2026,tranco_rank_aug2026,feed_method_aug2026,feed_url_aug2026,feed_status_aug2026,feed_success_aug2026,feed_notes_aug2026,quarantine_aug2026,bot_policy_aug2026,logo_url_aug2026,owner_aug2026,owner_category_aug2026,owner_source_aug2026,owner_checked_aug2026,hotlink_ok_aug2026
15,mass,segabg.com,Сега,newspaper,national,5.7M,,59411,robots_sitemap,https://www.segabg.com/google-news.xml,200,yes,sitemap_xml_confirmed,,,https://www.segabg.com/sites/default/files/_sega/logo-sega-x512_0.png,,,,,yes
16,mass,offnews.bg,OFFNews,independent news,national,5.0M,5.41M,56649,browser_then_sitemap,https://offnews.bg/sitemap/index.xml,200,yes,a_bare_HTTP_client_(curl_and_Python_urllib_both_403)_but_a_real_browser_reaches_this_exact_URL_fine,,,,,,,,
17,mass,actualno.com,Actualno,news,national,5.2M,,56337,robots_sitemap,https://www.actualno.com/sitemap/news_site_map.xml,200,yes,sitemap_xml_confirmed,,,https://www.actualno.com/logo.png,,,,,yes
18,mass,dnevnik.bg,Дневник (Economedia),daily,national,5.2M,,38863,browser_render_scrape,https://dnevnik.bg/,200,yes,no_feed_no_sitemap_confirmed_via_in_page_fetch_dom_pattern_section_YYYY_MM_DD_id_slug,,,,,,,,
20,mass,news.bg,News.bg,news,national,4.0M,,56669,browser_render_scrape,https://news.bg/,200,yes,feed_rss_sitemap_paths_all_200_html_spa_shell_robots_has_no_sitemap_line_dom_scrape_only,,,https://webnews.bg/assets/images/default/1.png?_=1450109042,,,,,
21,mass,flagman.bg,Флагман,regional,Burgas,4.0M,3.27M (Jun),59466,browser_render_scrape,https://flagman.bg/,200,yes,no_feed_no_sitemap_confirmed_via_in_page_fetch,,,https://flagman.bg/images/favicon.png,,,,,
22,mass,plovdiv24.bg,Plovdiv24,regional,Plovdiv,3.8M,,21428,sitemap,https://plovdiv24.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://i.id24.bg/tpl/plovdiv/img/p24logo60.png,,,,,
23,mass,trafficnews.bg,TrafficNews,regional,Plovdiv,3.8M,,76621,robots_sitemap,https://trafficnews.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://trafficnews.bg/assets_desktop/images//favicon/apple-icon-57x57.png,,,,,
24,mass,marica.bg,Марица,regional newspaper,Plovdiv,3.8M,,63086,browser_then_sitemap,https://www.marica.bg/storage/google-news-sitemap.xml,200,yes,root-path_routes_serve_a_SPA_shell;_the_real_sitemap_needs_the_www_subdomain_plus_/storage/_path_from_robots.txt_and_a_bare_HTTP_client_is_403d_—_a_real_browser_reaches_it_fine,,,https://www.marica.bg/img/marica-novini-ot-grada-i-regiona.svg,,,,,
25,mass,dariknews.bg,Дарик Нюз,radio news,national,3.7M,,58611,robots_sitemap,https://dariknews.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://m.netinfo.bg/dariknews/images/logo.png,,,,,yes
26,mass,bntnews.bg,БНТ Новини,public TV news,national,3.9M,,58109,robots_sitemap,https://bntnews.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,stale_source,,https://bntnews.bg/box/img//fav/apple-icon-57x57.png,,,,,
28,mass,standartnews.com,Стандарт,newspaper,national,2.8M,,56422,robots_sitemap,https://www.standartnews.com/sitemaps/index.xml,200,yes,sitemap_xml_confirmed,,,https://www.standartnews.com/build/assets/standartnews-logo-SH6q6GRD.svg,,,,,
29,mass,investor.bg,Investor.bg,business,national,2.6M,,55107,robots_sitemap,https://www.investor.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,stale_source,,https://investor.bg/media/img/favicon.png,,,,,
30,mass,glasove.com,Гласове,commentary,national,2.5M,,158595,browser_render_scrape,https://glasove.com/,200,yes,no_feed_no_sitemap_confirmed_via_in_page_fetch_dom_pattern_section_slug,,,https://glasove.com/assets/images/icons/apple-touch-icon-57x57.png?_=1644542736,,,,,
31,mass,frognews.bg,Frognews,news,national,2.2M,,108727,robots_sitemap,https://frognews.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://frognews.bg/media/img/frognews-logo-500x500.jpg,,,,,
32,mass,clubz.bg,clubZ,news,national,2.0M,,71760,rss,https://clubz.bg/rss.xml,200,yes,feed_xml_confirmed,,,https://clubz.bg/assets/images/logo.svg,,,,,
33,mass,lupa.bg,Lupa.bg,news/lifestyle,national,1.9M,,79179,browser_render_scrape,https://lupa.bg/,200,yes,no_feed_no_sitemap_confirmed_via_in_page_fetch,,,https://lupa.bg/box/img//fav/apple-icon-57x57.png,,,,,
34,mass,money.bg,Money.bg,business,national,1.8M,,154769,browser_render_scrape,https://money.bg/,200,yes,feed_rss_sitemap_paths_all_200_html_spa_shell_not_real_xml_dom_scrape_only,,,https://webnews.bg/assets/images/default/2.png?_=1450109042,,,,,yes
35,mass,moreto.net,Moreto.net,regional,Varna,1.5M,,73584,homepage_link,rss/lastnews.xml,200,yes,discovered_via_homepage_link_tag,,,https://moreto.net/favicon.ico,,,,,
36,mass,epicenter.bg,Epicenter,news,national,1.4M,,98867,browser_render_scrape,https://epicenter.bg/,200,yes,feed_and_sitemap_paths_200_but_html_spa_shell_not_real_xml_dom_scrape_only,,,https://epicenter.bg/favico.ico,,,,,
37,mass,bta.bg,БТА,state news agency,national,1.3M,,36903,browser_render_scrape,https://bta.bg/bg,200,yes,js_rendered_homepage_headlines_with_timestamps_no_static_feed_or_sitemap_exists,,,https://bta.bg/apple-touch-icon.png,,,,,
38,mass,pogled.info,Поглед.инфо,commentary,national,1.3M,,121703,sitemap,https://pogled.info/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://pogled.info/assets/images/pogled-logo-8bit.png,,,,,
39,mass,capital.bg,Капитал (Economedia),weekly/business,national,1.2M,,60495,browser_then_sitemap,https://www.capital.bg/capital_news0.xml,200,yes,capital_all0.xml_is_a_urlset_of_OTHER_sitemap_files_not_articles_nonstandard_use_of_urlset_instead_of_sitemapindex_capital_news0.xml_is_the_real_google_news_format_sitemap_with_titles_dates_bare_HTTP_client_403s_real_browser_reaches_it_fine,,,,,,,,
40,mass,faktor.bg,Фактор,news,national,1.1M,,154893,browser_render_scrape,https://faktor.bg/,200,yes,no_feed_no_sitemap_confirmed_via_in_page_fetch,,,https://faktor.bg/static/Faktor_logo.png,,,,,
41,mass,bgonair.bg,Bulgaria On Air,TV news,national,1.1M,,61631,robots_sitemap,https://www.bgonair.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,stale_source,,https://bgonair.bg/media/img/favicon.png,,,,,
43,mass,haskovo.net,Haskovo.net,regional,Haskovo,1.1M,,126729,browser_render_scrape,https://haskovo.net/,200,yes,sitemap.xml_returns_200_but_html_spa_shell_not_real_xml_dom_scrape_only,,,https://haskovo.net/favicon.ico,,,,,
44,mass,bnrnews.bg,БНР Новини,public radio news,national,,,64261,robots_sitemap,https://bnrnews.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://bnrnews.bg/cms/media?Name=bnr-logo,,,,,
45,mass,bgdnes.bg,България Днес,newspaper,national,0.72M,,123248,robots_sitemap,https://www.bgdnes.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://www.bgdnes.bg/images/logo.svg,,,,,
46,mass,varna24.bg,Varna24,regional,Varna,0.60M,,227234,sitemap,https://varna24.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://varna24.bg/tpl/varna2/img/varna24_blk.svg,,,,,
47,mass,economic.bg,Economic.bg,business,national,0.57M,,190992,robots_sitemap,https://www.economic.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://www.economic.bg/logo.png,,,,,
49,mass,bnews.bg,BNews,news,national,0.38M,,440910,robots_sitemap,https://bnews.bg/sitemap_index.xml,200,yes,sitemap_xml_confirmed,stale_source,,https://bnews.bg/wp-content/uploads/2023/04/bnews-fav.png,,,,,
50,mass,narod.bg,Народ.бг,news,national,0.38M,,651564,robots_sitemap,https://narod.bg/sitemap_index.xml,200,yes,sitemap_xml_confirmed,,,https://narod.bg/wp-content/uploads/2019/08/narodbg_final.png,,,,,
52,long_tail,podtepeto.com,Под тепето,regional,Plovdiv,370K,,441314,rss,https://podtepeto.com/feed,200,yes,feed_xml_confirmed,,,https://podtepeto.com/wp-content/uploads/2024/07/logo-15-years-medium.gif,,,,,yes
54,long_tail,168chasa.bg,168 часа,weekly newspaper,national,283K,,195018,rss,https://168chasa.bg/feed,200,yes,feed_xml_confirmed,,,https://www.168chasa.bg/Icons/apple-touch-icon-57x57.png,,,,,yes
55,long_tail,bloombergtv.bg,Bloomberg TV Bulgaria,business TV,national,285K,,247894,robots_sitemap,https://www.bloombergtv.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://bloombergtv.bg/media/img/favicon.ico,,,,,
56,long_tail,forbesbulgaria.com,Forbes Bulgaria,business monthly,national,249K,,371737,rss,https://forbesbulgaria.com/sitemap.rss,200,yes,robots.txt_declares_sitemap.rss_valid_rss2_50_dated_items_root_rss_plain_sitemap_xml_exceeded_180s_in_lister_switched_after_first_full_save_sweep_timeout_class_failures,,,https://forbesbulgaria.com/wp-content/uploads/2019/10/70030732_2486904108015556_4837677641240674304_o.jpg,,,,,
57,long_tail,chernomore.bg,Черно море,regional,Varna,174K,,302979,robots_sitemap,https://www.chernomore.bg/sitemap/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://chernomore.bg/media/img/favicon.png,,,,,
58,long_tail,manager.bg,Manager.bg,business,national,196K,,285572,robots_sitemap,https://manager.bg/feed/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://manager.bg/app/webroot/images/header/header-logo.png,,,,,
59,long_tail,burgas24.bg,Burgas24,regional,Burgas,164K,,395959,sitemap,https://burgas24.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://burgas24.bg/tpl/burgas/img/burgas24_blk.svg,,,,,
60,long_tail,iskra.bg,Искра,news,national,922K*,,386417,robots_sitemap,https://www.iskra.bg/sitemap_index.xml,200,yes,sitemap_xml_confirmed,stale_source,,https://www.iskra.bg/wp-content/uploads/2025/09/logo-2625-2-scaled.png,,,,,
61,long_tail,profit.bg,Profit.bg,business/markets,national,142K,,551612,robots_sitemap,https://profit.bg/api/sitemap-news.xml,200,yes,sitemap_xml_confirmed,,,https://profit.bg/assets/images/favicon/apple-icon-57x57.png,,,,,
62,long_tail,bgnes.bg,БГНЕС (българско издание),agency,national,148K,,276366,browser_render_scrape,https://www.bgnes.bg/,200,yes,bulgarian_edition_of_bgnes_com_which_defaults_to_ENGLISH_browser_harvest_of_article_links_then_plain_http_article_fetch_corpus_saved_here_since_2026-08-22_added_to_the_registry_2026-08-26_because_the_sweep_iterates_this_csv_and_the_folder_was_therefore_orphaned,,,https://www.bgnes.bg/static/images/bgnes-logo.svg,,,,,
63,editorial,bird.bg,БИРД (Bureau for Investigative Reporting and Data),investigative/data,national,165K,,250624,robots_sitemap,https://bird.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://bird.bg/wp-content/uploads/2019/12/bird_logo.png,,,,,
64,editorial,e-vestnik.bg,Е-вестник,independent commentary,national,72K,,867288,robots_sitemap,https://e-vestnik.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://e-vestnik.bg/wp-content/uploads/2018/07/e-vestnik.jpg,,,,,no
65,editorial,svobodnaevropa.bg,Свободна Европа (RFE/RL),public-service intl,national,46K,,483632,rss,https://svobodnaevropa.bg/?feed=rss2,200,yes,feed_xml_confirmed,,,,,,,,
66,editorial,kmeta.bg,Кмета.бг,municipal governance,national,34K,,not_in_top1m,browser_then_rss,https://kmeta.bg/feed/,200,yes,cloudflare_js_challenge_blocks_a_bare_http_client_clear_it_with_a_real_browser_first_then_fetch_the_url_column_directly_wordpress_rss_confirmed,,,https://kmeta.bg/wp-content/uploads/2023/09/cropped-Kmeta_K11-1-180x180.jpg,,,,,yes
68,editorial,toest.bg,Тоест,analysis/culture,national,23K,,not_in_top1m,robots_sitemap,https://www.toest.bg/sitemap.xml,200,yes,sitemap_xml_confirmed,,,https://storage.ghost.io/c/1e/b4/1eb4ceda-c2c0-4233-8c6f-2fe4853d52fb/content/images/2025/01/Toest-Logo_H40.svg,,,,,
69,editorial,marginalia.bg,Маргиналия,human rights/social,national,15K,,not_in_top1m,rss,https://marginalia.bg/feed,200,yes,feed_xml_confirmed,,,https://www.marginalia.bg/wp-content/uploads/2023/08/marginalia-logo-title_HD-remastered.png,,,,,
