"Име на кандидат/член на ИнК","Предоставил средства на","От дата","Вид","Размер  1","Стойност 2","Декл. 3"
"Джипо Джипов","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","10.10.2024","","0.00 лв.","216.00 лв.",""
"Джем Яменов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","26.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Джем Яменов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Диана Ласонина","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Димитър  Гърдев","ИМА ТАКЪВ НАРОД - Партия","22.10.2024","Кандидат","100.00 лв.","0.00 лв.",""
"Димитър  Петров","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Димитър Бакалов","БЪЛГАРСКИ ВЪЗХОД - Партия","07.10.2024","","700.00 лв.","0.00 лв.",""
"Димитър Аврамов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","26.09.2024","Кандидат","30000.00 лв.","0.00 лв.","Свали"
"Димитър Аврамов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Димитър Главинов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Димитър Сяров","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","3000.00 лв.","0.00 лв.","Свали"
"Димитър Сяров","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","120.00 лв.","0.00 лв.","Свали"
"Дин Онбаши","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Донка Динева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Драгомир Петров","ИМА ТАКЪВ НАРОД - Партия","17.10.2024","Кандидат","5000.00 лв.","0.00 лв.","Свали"
"Елван Гюркаш","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","26.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Елван Гюркаш","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ЕМИЛ ДИМИТРОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","350.00 лв.","0.00 лв.",""
"Евгени Минчев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Едиз-Ханиф Саидов","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","60000.00 лв.","0.00 лв.","Свали"
"Елена Велева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Елисавета Досева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Елмира Атанасова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Емил Димитров","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","4600.00 лв.","0.00 лв.","Свали"
"Емил Димитров","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Емил Димитров","СИНЯ БЪЛГАРИЯ - Коалиция","","Кандидат","2000.00 лв.","0.00 лв.","Свали"
"Ерол Мюмюн","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","30.09.2024","Кандидат","50000.00 лв.","0.00 лв.","Свали"
"Ертен Анисова","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ЗАФИР ГОЧЕВ","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ИВАЙЛО ПАПОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ИВАЙЛО ЧОРБОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"ИВАН  МАЙСТОРОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"ИЛИЯ ПОПОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"ИЛИЯНА МОРАВЧЕНСКА","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"Ивайло Атанасов","МОЯ СТРАНА БЪЛГАРИЯ - Коалиция","","Кандидат","880.00 лв.","0.00 лв.",""
"Иван Иванов","ИМА ТАКЪВ НАРОД - Партия","25.10.2024","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Иван Митров","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Иван Панайотов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Иван Петков","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","600.00 лв.","0.00 лв.","Свали"
"Иван Ряхов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Иван Стоянов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Иван Токаджиев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Иво Цанев","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","26.09.2024","Кандидат","30000.00 лв.","0.00 лв.","Свали"
"Иво Цанев","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Илия  Вачев","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Искра Михайлова-Копарова","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Искрен Искров","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"ЙОРДАН  НЕЙКОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"ЙОРДАН ТОДОРОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Йонко  Иванов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","800.00 лв.","0.00 лв.",""
"Йордан Цонев","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","50000.00 лв.","0.00 лв.","Свали"
"Йордан Цонев","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","20.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"КИРИЛ АТАНАСОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"КИРИЛ ДОБРЕВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"КОНСТАНТИНА ПЕТРОВА","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"КОСТАДИН СТОЯНОВ","ВЪЗРАЖДАНЕ - Партия","02.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР  ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР  ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"КРАСИМИР ЙОРДАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Калин Николов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Красимир Доновски","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Красимир Иванов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"Красимир Игнатов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Красимира Величкова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","22.10.2024","","4000.00 лв.","0.00 лв.","Свали"
"Красимира Величкова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","07.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"Кристина Иванова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"Кръстин Чепилов","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"ЛИДИЯ СТОЙКОВА-ЧОРБАНОВА","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","0.00 лв.","500.00 лв.",""
"Лилия Ванчева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","1000.00 лв.","0.00 лв.","Свали"
"МАНОЛ  ГЕНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"МАРГАРИТА МИХАЕВА","ВЪЗРАЖДАНЕ - Партия","01.10.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
"МАРИАНА БОЯДЖИЕВА","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"МАРИО  ИВАНОВ","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"МИГЛЕНА  ПРОЙНОВА","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","900.00 лв.","0.00 лв.",""
"МУСТАФА КЬОС","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","990.00 лв.","0.00 лв.","Свали"
"Мариана Божкова","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","500.00 лв.","0.00 лв.",""
"Надежда Киселкова-Юмерова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","09.10.2024","","0.00 лв.","320.00 лв.",""
"Мариела Иванова","ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция","12.09.2024","Кандидат","0.00 лв.","4482.76 лв.","Свали"
"Мариела Модева","БСП – ОБЕДИНЕНА ЛЕВИЦА - Коалиция","","Кандидат","500.00 лв.","0.00 лв.",""
"Милен Милчев","ИМА ТАКЪВ НАРОД - Партия","21.10.2024","Кандидат","1160.00 лв.","0.00 лв.","Свали"
"Надя Петрова","ДВИЖЕНИЕ ЗА ПРАВА И СВОБОДИ – НОВО НАЧАЛО - Коалиция","25.09.2024","Кандидат","10000.00 лв.","0.00 лв.","Свали"
